"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","204","Get user by id and returns 200 and valid user [2] 2","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","226","Login with Missing password and get 400 and error message [3] LoginDto(email=nathanial.rohan@hotmail.com, password=y35rh3x2lsh35)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","134","Get user by id and returns 200 and valid user [1] 1","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","232","Login with Valid email and password and get 200 and token","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_validEmailValidPassword_return200AndToken"
"","143","Create user by valid body and returns 200 and valid user [3] UserDto(email=carry.koelpin@yahoo.com, firstName=Ruby, lastName=Rice, avatar=https://picsum.photos/640/480)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","156","Create user by valid body and returns 200 and valid user [2] UserDto(email=jacqui.schmitt@yahoo.com, firstName=Christopher, lastName=Raynor, avatar=https://picsum.photos/720/348)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","255","Get users validPageable return 200 and user list [1] 1","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUsers_validPageable_return200AndUserList"
"","217","Get user by id and returns 200 and valid user [4] 4","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","258","Login with Missing password and get 400 and error message [2] LoginDto(email=edison.hudson@hotmail.com, password=g2dn8jz0)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","3803","Login with Missing password and get 400 and error message [1] LoginDto(email=ronald.walker@hotmail.com, password=w2mgkljvp25)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","213","Login with Invalid email and password and get 400 and error message [2] LoginDto(email=devora.ward@gmail.com, password=iba6r64xjmsylhg9)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","216","Login with Invalid email and password and get 400 and error message [3] LoginDto(email=jonah.padberg@yahoo.com, password=t7mvn87g)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","334","Create user by valid body and returns 200 and valid user [1] UserDto(email=bruno.swift@yahoo.com, firstName=Theo, lastName=Macejkovic, avatar=https://picsum.photos/640/200)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","1","LoginProductOrderUiTest","","2026-08-10","broken","2026-08-10","","com.violetta.aqa.ui.test.LoginProductOrderUiTest","com.violetta.aqa.ui.test.LoginProductOrderUiTest",""
"","153","Login with Invalid email and password and get 400 and error message [1] LoginDto(email=vickey.gottlieb@yahoo.com, password=5180bvf7fp59i)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","204","Get user by id and returns 200 and valid user [3] 3","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","199","Get users validPageable return 200 and user list [2] 2","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUsers_validPageable_return200AndUserList"
