"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","329","Get user by id and returns 200 and valid user [4] 4","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","313","Get user by id and returns 200 and valid user [3] 3","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","272","Create user by valid body and returns 200 and valid user [1] UserDto(email=cierra.brown@gmail.com, firstName=Tena, lastName=Kub, avatar=https://picsum.photos/720/348)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","190","Create user by valid body and returns 200 and valid user [2] UserDto(email=samantha.roberts@yahoo.com, firstName=Venetta, lastName=Hills, avatar=https://picsum.photos/1600/1200)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","324","Login with Invalid email and password and get 400 and error message [1] LoginDto(email=clinton.hickle@yahoo.com, password=l8pr591zwt430vh)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","349","Get users validPageable return 200 and user list [1] 1","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUsers_validPageable_return200AndUserList"
"","3505","Order Max Price and Min Price products","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.ui.test.LoginProductOrderUiTest","com.violetta.aqa.ui.test.LoginProductOrderUiTest","orderMinAndMaxPriceProducts"
"","190","Get user by id and returns 200 and valid user [2] 2","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","4944","Login with Missing password and get 400 and error message [1] LoginDto(email=hallie.miller@yahoo.com, password=5s4r72j3w8qt95a)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","199","Get user by id and returns 200 and valid user [1] 1","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","211","Login with Invalid email and password and get 400 and error message [3] LoginDto(email=aide.weimann@yahoo.com, password=4d85w960au123oe)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","335","Login with Missing password and get 400 and error message [3] LoginDto(email=vern.tillman@yahoo.com, password=q19xpwts6)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","194","Get users validPageable return 200 and user list [2] 2","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUsers_validPageable_return200AndUserList"
"","213","Login with Missing password and get 400 and error message [2] LoginDto(email=bula.jaskolski@gmail.com, password=w7md6ci0ptm36t72)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","192","Create user by valid body and returns 200 and valid user [3] UserDto(email=joesph.deckow@yahoo.com, firstName=Ebony, lastName=Moore, avatar=https://picsum.photos/1024/768)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","325","Login with Invalid email and password and get 400 and error message [2] LoginDto(email=jena.kling@yahoo.com, password=6103guo6x27)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","204","Login with Valid email and password and get 200 and token","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_validEmailValidPassword_return200AndToken"
