"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","323","Login with Missing password and get 400 and error message [3] LoginDto(email=dexter.bechtelar@hotmail.com, password=87358r4k05gq1)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","199","Login with Invalid email and password and get 400 and error message [3] LoginDto(email=tristan.rodriguez@yahoo.com, password=g8l95cm30h)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","315","Get user by id and returns 200 and valid user [1] 1","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","220","Login with Missing password and get 400 and error message [2] LoginDto(email=michaele.beahan@hotmail.com, password=5930s77po70)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","317","Get user by id and returns 200 and valid user [3] 3","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","329","Login with Invalid email and password and get 400 and error message [1] LoginDto(email=raymond.johnson@hotmail.com, password=08v48968d)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","190","Create user by valid body and returns 200 and valid user [2] UserDto(email=erich.wehner@gmail.com, firstName=Jay, lastName=Johnston, avatar=https://picsum.photos/1600/1200)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","357","Get users validPageable return 200 and user list [1] 1","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUsers_validPageable_return200AndUserList"
"","317","Login with Invalid email and password and get 400 and error message [2] LoginDto(email=gerard.connelly@yahoo.com, password=i2bbqyxq9o57)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_invalidEmailInvalidPassword_return200AndErrorMessage"
"","4129","Login with Missing password and get 400 and error message [1] LoginDto(email=maud.hirthe@yahoo.com, password=e9c0zj596)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_EmailOnly_return400AndErrorMessage"
"","1","LoginProductOrderUiTest","","2026-08-10","broken","2026-08-10","","com.violetta.aqa.ui.test.LoginProductOrderUiTest","com.violetta.aqa.ui.test.LoginProductOrderUiTest",""
"","204","Login with Valid email and password and get 200 and token","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.auth.AuthApiTest","com.violetta.aqa.api.test.auth.AuthApiTest","login_validEmailValidPassword_return200AndToken"
"","313","Get user by id and returns 200 and valid user [2] 2","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","370","Create user by valid body and returns 200 and valid user [1] UserDto(email=randall.mohr@hotmail.com, firstName=Mitch, lastName=Strosin, avatar=https://picsum.photos/1920/1200)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
"","326","Get user by id and returns 200 and valid user [4] 4","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUserById_validRequest_return200AndValidUser"
"","318","Get users validPageable return 200 and user list [2] 2","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","getUsers_validPageable_return200AndUserList"
"","195","Create user by valid body and returns 200 and valid user [3] UserDto(email=lyla.graham@yahoo.com, firstName=Lilla, lastName=Mertz, avatar=https://picsum.photos/640/200)","","2026-08-10","passed","2026-08-10","","com.violetta.aqa.api.test.user.UserApiTest","com.violetta.aqa.api.test.user.UserApiTest","createUser_validRequest_return201AndValidUser"
